x_position,final_density,final_value,density_gradient
0.0,0.298681288486728,0.06736491282340834,0.011077749925661351
0.008403361344537815,0.30975903841238933,0.054283697027319944,0.011413102846000805
0.01680672268907563,0.3215074941787296,0.04004941779599436,0.012091202582968003
0.025210084033613446,0.33394144357832534,0.02463289107683536,0.012782969343483636
0.03361344537815126,0.34707343286569686,0.008009265381790587,0.013486036644363791
0.04201680672268907,0.3609135168670529,-0.009841483221384395,0.014197789362309754
0.05042016806722689,0.37546901159031637,-0.028934061038788594,0.014915367449382627
0.058823529411764705,0.3907442517658182,-0.04927737645128005,0.015635672080105523
0.06722689075630252,0.4067403557505274,-0.07087407424176478,0.016355374202859374
0.07563025210084033,0.4234550001715369,-0.09372008928961328,0.017070925405527293
0.08403361344537814,0.440882206561582,-0.11780422412697483,0.017778570937185906
0.09243697478991596,0.45901214204590873,-0.14310775446477275,0.018474364655734377
0.10084033613445378,0.47783093587305076,-0.1696040662626086,0.019154185598045798
0.1092436974789916,0.49732051324200033,-0.19725832723664016,0.019813755797656735
0.11764705882352941,0.5174584474683642,-0.22602719487971124,0.020448658909152262
0.12605042016806722,0.5382178310603049,-0.2558585621244698,0.021054359143107382
0.13445378151260504,0.559567165754579,-0.28669134073928304,0.02162621997646741
0.14285714285714285,0.5814702710132397,-0.318455281447358,0.02215952208713462
0.15126050420168066,0.6038862099288482,-0.3510708286541453,0.022649479975464293
0.15966386554621848,0.6267692309641683,-0.38444900662449144,0.02309125678691515
0.1680672268907563,0.6500687235026785,-0.4184913330519031,0.0234799769467387
0.1764705882352941,0.6737291848576457,-0.45308975530528806,0.023810736366222496
0.18487394957983191,0.6976901962351235,-0.4881266043340091,0.024078610186201166
0.19327731092436973,0.721886405230048,-0.5234745613799454,0.024278658290754207
0.20168067226890757,0.7462475128166319,-0.5589966334095995,0.0244059291525488
0.21008403361344538,0.7706982635351456,-0.5945461346613659,0.0244554629573851
0.2184873949579832,0.7951584387314021,-0.629966674011869,0.024422295390244764
0.226890756302521,0.8195428543156351,-0.6650921510863856,0.024301463933581235
0.23529411764705882,0.8437613665985646,-0.699746768220973,0.024088019008997763
0.24369747899159663,0.8677188923336306,-0.7337450705267052,0.023777042756970623
0.25210084033613445,0.8913154521125058,-0.7668920323431347,0.02336367865998029
0.26050420168067223,0.9144462496535912,-0.7989832151537493,0.022843175530014803
0.2689075630252101,0.9370018031725355,-0.8298050293353678,0.02221094955467684
0.2773109243697479,0.9588681487629449,-0.8591351395921927,0.021462668077087632
0.2857142857142857,0.9799271393267107,-0.8867430611483023,0.020594358523733147
0.29411764705882354,1.0000568658104112,-0.9123910002070026,0.01960254534582645
0.3025210084033613,1.0191322300183636,-0.9358349972142816,0.018484416966752848
0.31092436974789917,1.037025699743917,-0.9568264344062609,0.017238023507386235
0.31932773109243695,1.053608277033136,-0.9751139692662885,0.015862504487869633
0.3277310924369748,1.0687507087196562,-0.9904459521672315,0.014358343797587492
0.3361344537815126,1.082324964628311,-1.002573378992853,0.012727647030770006
0.3445378151260504,1.0942060027811962,-1.0112534174049486,0.01097443387985253
0.3529411764705882,1.1042738323880161,-1.0162535283200151,0.009104935769841283
0.36134453781512604,1.1124158743208787,-1.017356181996556,0.007127886441700038
0.36974789915966383,1.1185296052714162,-1.0143641411302977,0.005054790913927909
0.37815126050420167,1.1225254561487346,-1.0071062520765754,0.0029001563505323125
0.38655462184873945,1.1243299179724808,-0.995443650711469,0.0006816670309232054
0.3949579831932773,1.123888790210581,-0.9792762528345524,-0.0015797149601297633
0.40336134453781514,1.1211704880522213,-0.9585493620989254,-0.0038597413570772288
0.4117647058823529,1.1161693074964265,-0.9332601932345115,-0.006130978279186405
0.42016806722689076,1.1089085314938485,-0.9034640770459097,-0.008363029806910949
0.42857142857142855,1.0994432478826046,-0.869280088673285,-0.010522894908412739
0.4369747899159664,1.087862741677023,-0.8308958242415896,-0.012575463200611092
0.4453781512605042,1.0742923214813824,-0.7885710454506341,-0.01448414918002039
0.453781512605042,1.0588944433169822,-0.7426399186917558,-0.016211657929574352
0.4621848739495798,1.0418690056222337,-0.6935115962203062,-0.017720868192325656
0.47058823529411764,1.023452706932331,-0.6416689224076291,-0.018975811463903147
0.4789915966386554,1.0039173826944274,-0.587665097995669,-0.019942718806938264
0.48739495798319327,0.9835672693184544,-0.5321181985664651,-0.020591100874445767
0.49579831932773105,0.9627351809455359,-0.47570351820311885,-0.02089482158747047
0.5042016806722689,0.9417776261435135,-0.4191437927746027,-0.020833122456113462
0.5126050420168067,0.921068936033309,-0.3631974458658631,-0.020391553010248475
0.5210084033613445,0.9009945201230165,-0.30864508992161666,-0.019562763471685674
0.5294117647058824,0.8819434090899376,-0.2562746010994901,-0.01834711878934253
0.5378151260504201,0.8643002825443314,-0.20686516391584542,-0.016753098471734507
0.5462184873949579,0.8484372121464686,-0.1611707464438037,-0.01479745413793232
0.5546218487394958,0.8347053742684668,-0.11990351446329028,-0.012505106073291916
0.5630252100840336,0.8234269999998848,-0.08371772017839518,-0.009908770888454876
0.5714285714285714,0.814887832491557,-0.05319460550880861,-0.007048324094806824
0.5798319327731092,0.8093303518102711,-0.028828840318747995,-0.003969913400756642
0.5882352941176471,0.8069480056900438,-0.011016972373480982,-0.0007248501325858303
0.5966386554621849,0.8078806515450995,-0.00004829977258835605,0.0026316832754136876
0.6050420168067226,0.8122113722408711,0.0039015091281642267,0.006042062913858892
0.6134453781512604,0.8199647773728173,0.0007738247872473014,0.009447736691324315
0.6218487394957983,0.8311068456235198,-0.009372616620561658,0.012790763779042813
0.6302521008403361,0.8455463049309029,-0.0263644619560377,0.0160153215087126
0.6386554621848739,0.863137488640945,-0.04991944188808195,0.019069122762020774
0.6470588235294117,0.8836845504549444,-0.07965478932725079,0.02190469144736218
0.6554621848739496,0.9069468715356693,-0.1150980422690786,0.024480450756902916
0.6638655462184874,0.9326454519687503,-0.15569981546008194,0.026761588105307266
0.6722689075630252,0.9604700477462839,-0.20084806324051074,0.028720671419281696
0.680672268907563,0.9900867948073137,-0.24988331665321728,0.030338003141988812
0.6890756302521008,1.0211460540302615,-0.3021143626286902,0.03160171026790731
0.6974789915966386,1.0532902153431283,-0.35683384159760756,0.032507580268788305
0.7058823529411764,1.086161214567838,-0.4133332707831463,0.033058663297605095
0.7142857142857143,1.1194075419383385,-0.4709170510714862,0.033264670041025624
0.7226890756302521,1.1526905546498893,-0.5289150821942648,0.03314120162673606
0.7310924369747899,1.1856899451918106,-0.5866936897460475,0.03270885281347824
0.7394957983193277,1.2181082602768458,-0.6436646536812465,0.03199223218043701
0.7478991596638656,1.2496744095526846,-0.6992922166792324,0.03101894321640941
0.7563025210084033,1.2801461467096646,-0.753098037622846,0.029818568250303934
0.7647058823529411,1.3093115460532925,-0.8046641363442137,0.02842169333927702
0.7731092436974789,1.3369895333882187,-0.8536339473471855,0.026859006902887117
0.7815126050420168,1.3630295598590667,-0.8997116598126194,0.025160498481428872
0.7899159663865546,1.3873105303510764,-0.9426600671072092,0.023354776949157996
0.7983193277310924,1.4097391137573827,-0.9822971804235716,0.021468520267565516
0.8067226890756303,1.4302475708862075,-1.018491878111498,0.019526061826101504
0.8151260504201681,1.4487912374095857,-1.0511588655162056,0.01754911193801334
0.8235294117647058,1.4653457947622341,-1.0802532111525944,0.015556607415885826
0.8319327731092436,1.4799044522413574,-1.1057647057280762,0.01356467754270163
0.8403361344537815,1.4924751498476374,-1.1277122631045908,0.011586711293513074
0.8487394957983193,1.5030778748283835,-1.1461385491310125,0.009633508383389944
0.8571428571428571,1.5117421666144173,-1.1611049877374406,0.007713495580192409
0.8655462184873949,1.5185048659887683,-1.1726872559749613,0.00583298962675638
0.8739495798319328,1.52340814586793,-1.1809713427688677,0.0039964889214765265
0.8823529411764706,1.5264978438317214,-1.1860502116629656,0.002206977634173768
0.8907563025210083,1.5278221011362776,-1.1880210770285822,0.00046622799580953167
0.8991596638655461,1.5274302998233404,-1.1869832769681992,-0.0012249110944826391
0.907563025210084,1.5253722789473123,-1.1830367049592445,-0.002866248432951357
0.9159663865546218,1.5216978029574377,-1.1762807463143665,-0.004458014560227874
0.9243697478991596,1.5164562498268566,-1.1668136546422776,-0.006000659765787564
0.9327731092436974,1.5096964834258626,-1.1547322973034428,-0.007494688103757308
0.9411764705882353,1.501466873619342,-1.1401321968191502,-0.008940527563935818
0.9495798319327731,1.491815428297991,-1.123107796650771,-0.010338434973572452
0.9579831932773109,1.480790003672197,-1.1037528840035842,-0.011688432995623499
0.9663865546218487,1.468438562306744,-1.0821611086071152,-0.012990275730047407
0.9747899159663865,1.4548094522121022,-1.0584265440981702,-0.014243438890605198
0.9831932773109243,1.4399516845255336,-1.0326442470667156,-0.01544713028231437
0.9915966386554621,1.4239151916474735,-1.0049107774882944,-0.016600316298039264
1.0,1.406751051929455,-0.9753246527273347,-0.017164139718018445
-1.0,0.9987726347517343,-0.6093808090713134,0.016644425469276615
